code,definition
IV,6+ Seats * MV to be phased out and GDS's to map to IV *
JV,Elite 6+ Seats
SV,8+ Seats
RV,Elite 8+ Seats
FV,10+ Seats
GV,Elite 10+ Seats
PV,15+ Seats
UV,Elite 15+ Seats
LV,Luxury no seat req.
WV,Luxury Elite no seat req.
